Year_Fraction,Smoothed_GIA
2013.5626050,24.17
2013.5897710,24.90
2013.6169370,25.61
2013.6441030,26.44
2013.6712690,27.50
2013.6984360,28.71
2013.7256020,29.79
2013.7527680,30.57
2013.7799340,31.09
2013.8071000,31.41
2013.8342660,31.46
2013.8614320,30.87
2013.8885990,30.40
2013.9157650,29.41
2013.9429310,28.41
2013.9700970,27.67
2013.9972630,27.33
2014.0244290,27.32
2014.0515960,27.52
2014.0787620,27.85
2014.1059280,28.21
2014.1330940,28.51
2014.1602600,28.60
2014.1874260,28.38
2014.2145920,27.81
2014.2417590,26.93
2014.2689250,25.84
2014.2960910,24.74
2014.3232570,23.86
2014.3504230,23.40
2014.3775890,23.42
2014.4047560,23.87
2014.4319220,24.65
2014.4590880,25.69
2014.4862540,26.89
2014.5134200,28.18
2014.5405860,29.51
2014.5677520,30.87
2014.5949190,32.22
2014.6220850,33.44
2014.6492510,34.39
2014.6764170,35.03
2014.7035830,35.45
2014.7307490,35.79
2014.7579150,36.08
2014.7850820,36.17
2014.8122480,35.91
2014.8394140,35.29
2014.8665800,34.60
2014.8937460,34.14
2014.9209120,33.97
2014.9480790,33.85
2014.9752450,33.61
2015.0024110,33.32
2015.0295770,33.29
2015.0567430,33.68
2015.0839090,34.39
2015.1110750,35.14
2015.1382420,35.63
2015.1654080,35.75
2015.1925740,35.58
2015.2197400,35.32
2015.2469060,35.09
2015.2740720,34.89
2015.3012390,34.66
2015.3284050,34.42
2015.3555710,34.34
2015.3827370,34.64
2015.4099030,35.43
2015.4370690,36.60
2015.4642350,37.98
2015.4914020,39.40
2015.5185680,40.79
2015.5457340,42.15
2015.5729000,43.51
2015.6000660,44.91
2015.6272320,46.34
2015.6543990,47.67
2015.6815650,48.77
2015.7087310,49.58
2015.7358970,50.17
2015.7630630,50.57
2015.7902290,50.70
2015.8173950,50.44
2015.8445620,49.73
2015.8717280,48.71
2015.8988940,47.50
2015.9260600,46.20
2015.9532260,44.98
2015.9803920,44.12
2016.0075380,43.80
2016.0346300,43.93
2016.0617220,44.25
2016.0888140,44.49
2016.1159060,44.58
2016.1429970,44.54
2016.1700890,44.34
2016.1971810,43.93
2016.2242730,43.22
2016.2513650,42.24
2016.2784570,41.06
2016.3055490,39.83
2016.3326410,38.76
2016.3597330,38.05
2016.3868250,37.82
2016.4139170,38.05
2016.4410090,38.57
2016.4681010,39.14
2016.4951930,39.59
2016.5222840,39.87
2016.5493760,40.07
2016.5764680,40.40
2016.6035600,41.03
2016.6306520,41.99
2016.6577440,43.08
2016.6848360,44.01
2016.7119280,44.61
2016.7390200,44.95
2016.7661120,45.25
2016.7932040,45.62
2016.8202960,46.03
2016.8473880,46.29
2016.8744800,46.21
2016.9015710,45.64
2016.9286630,44.58
2016.9557550,43.24
2016.9828470,41.91
2017.0099660,40.77
2017.0371330,39.89
2017.0642990,39.24
